Time,key,value
2023-10-02T03:12Z,Javier Milei,14
2023-10-02T03:12Z,Sergio Massa,7
2023-10-02T03:12Z,Patricia Bullrich,5
2023-10-02T03:12Z,Myriam Bregman,8
2023-10-02T03:12Z,Juan Schiaretti,9
2023-10-02T03:20Z,Javier Milei,16
2023-10-02T03:20Z,Sergio Massa,7
2023-10-02T03:20Z,Patricia Bullrich,5
2023-10-02T03:20Z,Myriam Bregman,8
2023-10-02T03:20Z,Juan Schiaretti,8
2023-10-02T03:28Z,Javier Milei,14
2023-10-02T03:28Z,Sergio Massa,7
2023-10-02T03:28Z,Patricia Bullrich,5
2023-10-02T03:28Z,Myriam Bregman,7
2023-10-02T03:28Z,Juan Schiaretti,8
2023-10-02T03:36Z,Javier Milei,15
2023-10-02T03:36Z,Sergio Massa,5
2023-10-02T03:36Z,Patricia Bullrich,4
2023-10-02T03:36Z,Myriam Bregman,7
2023-10-02T03:36Z,Juan Schiaretti,6
2023-10-02T03:44Z,Javier Milei,15
2023-10-02T03:44Z,Sergio Massa,5
2023-10-02T03:44Z,Patricia Bullrich,4
2023-10-02T03:44Z,Myriam Bregman,6
2023-10-02T03:44Z,Juan Schiaretti,6
2023-10-02T03:52Z,Javier Milei,15
2023-10-02T03:52Z,Sergio Massa,5
2023-10-02T03:52Z,Patricia Bullrich,4
2023-10-02T03:52Z,Myriam Bregman,6
2023-10-02T03:52Z,Juan Schiaretti,6
2023-10-02T04:00Z,Javier Milei,14
2023-10-02T04:00Z,Sergio Massa,5
2023-10-02T04:00Z,Patricia Bullrich,4
2023-10-02T04:00Z,Myriam Bregman,8
2023-10-02T04:00Z,Juan Schiaretti,6
2023-10-02T04:08Z,Javier Milei,13
2023-10-02T04:08Z,Sergio Massa,4
2023-10-02T04:08Z,Patricia Bullrich,2
2023-10-02T04:08Z,Myriam Bregman,7
2023-10-02T04:08Z,Juan Schiaretti,5
2023-10-02T04:16Z,Javier Milei,15
2023-10-02T04:16Z,Sergio Massa,5
2023-10-02T04:16Z,Patricia Bullrich,3
2023-10-02T04:16Z,Myriam Bregman,6
2023-10-02T04:16Z,Juan Schiaretti,6
2023-10-02T04:24Z,Javier Milei,13
2023-10-02T04:24Z,Sergio Massa,5
2023-10-02T04:24Z,Patricia Bullrich,3
2023-10-02T04:24Z,Myriam Bregman,5
2023-10-02T04:24Z,Juan Schiaretti,5
2023-10-02T04:32Z,Javier Milei,14
2023-10-02T04:32Z,Sergio Massa,6
2023-10-02T04:32Z,Patricia Bullrich,4
2023-10-02T04:32Z,Myriam Bregman,7
2023-10-02T04:32Z,Juan Schiaretti,6
2023-10-02T04:40Z,Javier Milei,14
2023-10-02T04:40Z,Sergio Massa,6
2023-10-02T04:40Z,Patricia Bullrich,4
2023-10-02T04:40Z,Myriam Bregman,6
2023-10-02T04:40Z,Juan Schiaretti,6
2023-10-02T04:48Z,Javier Milei,13
2023-10-02T04:48Z,Sergio Massa,4
2023-10-02T04:48Z,Patricia Bullrich,2
2023-10-02T04:48Z,Myriam Bregman,7
2023-10-02T04:48Z,Juan Schiaretti,4
2023-10-02T04:56Z,Javier Milei,12
2023-10-02T04:56Z,Sergio Massa,5
2023-10-02T04:56Z,Patricia Bullrich,3
2023-10-02T04:56Z,Myriam Bregman,8
2023-10-02T04:56Z,Juan Schiaretti,6
2023-10-02T05:04Z,Javier Milei,11
2023-10-02T05:04Z,Sergio Massa,3
2023-10-02T05:04Z,Patricia Bullrich,2
2023-10-02T05:04Z,Myriam Bregman,6
2023-10-02T05:04Z,Juan Schiaretti,6
2023-10-02T05:12Z,Javier Milei,15
2023-10-02T05:12Z,Sergio Massa,5
2023-10-02T05:12Z,Patricia Bullrich,4
2023-10-02T05:12Z,Myriam Bregman,6
2023-10-02T05:12Z,Juan Schiaretti,5
2023-10-02T05:20Z,Javier Milei,12
2023-10-02T05:20Z,Sergio Massa,5
2023-10-02T05:20Z,Patricia Bullrich,3
2023-10-02T05:20Z,Myriam Bregman,7
2023-10-02T05:20Z,Juan Schiaretti,7
2023-10-02T05:28Z,Javier Milei,12
2023-10-02T05:28Z,Sergio Massa,5
2023-10-02T05:28Z,Patricia Bullrich,2
2023-10-02T05:28Z,Myriam Bregman,6
2023-10-02T05:28Z,Juan Schiaretti,5
2023-10-02T05:36Z,Javier Milei,13
2023-10-02T05:36Z,Sergio Massa,3
2023-10-02T05:36Z,Patricia Bullrich,5
2023-10-02T05:36Z,Myriam Bregman,6
2023-10-02T05:36Z,Juan Schiaretti,6
2023-10-02T05:44Z,Javier Milei,11
2023-10-02T05:44Z,Sergio Massa,5
2023-10-02T05:44Z,Patricia Bullrich,3
2023-10-02T05:44Z,Myriam Bregman,3
2023-10-02T05:44Z,Juan Schiaretti,7
2023-10-02T05:52Z,Javier Milei,11
2023-10-02T05:52Z,Sergio Massa,4
2023-10-02T05:52Z,Patricia Bullrich,4
2023-10-02T05:52Z,Myriam Bregman,5
2023-10-02T05:52Z,Juan Schiaretti,2
2023-10-02T06:00Z,Javier Milei,7
2023-10-02T06:00Z,Sergio Massa,3
2023-10-02T06:00Z,Patricia Bullrich,3
2023-10-02T06:00Z,Myriam Bregman,4
2023-10-02T06:00Z,Juan Schiaretti,5
2023-10-02T06:08Z,Javier Milei,11
2023-10-02T06:08Z,Sergio Massa,5
2023-10-02T06:08Z,Patricia Bullrich,2
2023-10-02T06:08Z,Myriam Bregman,5
2023-10-02T06:08Z,Juan Schiaretti,7
2023-10-02T06:16Z,Javier Milei,12
2023-10-02T06:16Z,Sergio Massa,4
2023-10-02T06:16Z,Patricia Bullrich,2
2023-10-02T06:16Z,Myriam Bregman,5
2023-10-02T06:16Z,Juan Schiaretti,2
2023-10-02T06:24Z,Javier Milei,10
2023-10-02T06:24Z,Sergio Massa,3
2023-10-02T06:24Z,Patricia Bullrich,4
2023-10-02T06:24Z,Myriam Bregman,3
2023-10-02T06:24Z,Juan Schiaretti,4
2023-10-02T06:32Z,Javier Milei,11
2023-10-02T06:32Z,Sergio Massa,4
2023-10-02T06:32Z,Patricia Bullrich,3
2023-10-02T06:32Z,Myriam Bregman,3
2023-10-02T06:32Z,Juan Schiaretti,4
2023-10-02T06:40Z,Javier Milei,13
2023-10-02T06:40Z,Sergio Massa,5
2023-10-02T06:40Z,Patricia Bullrich,2
2023-10-02T06:40Z,Myriam Bregman,7
2023-10-02T06:40Z,Juan Schiaretti,4
2023-10-02T06:48Z,Javier Milei,12
2023-10-02T06:48Z,Sergio Massa,4
2023-10-02T06:48Z,Patricia Bullrich,3
2023-10-02T06:48Z,Myriam Bregman,6
2023-10-02T06:48Z,Juan Schiaretti,5
2023-10-02T06:56Z,Javier Milei,12
2023-10-02T06:56Z,Sergio Massa,5
2023-10-02T06:56Z,Patricia Bullrich,2
